t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
132,random,simple,B,0.95,1.0,661.6355782572036,0.1,1,0,0.1,661.6355782572036,0.0
133,random,simple,D,0.85,0.817054131671739,610.7046947465593,0.22,1,0,0.22,610.7046947465593,0.0
134,random,simple,A,0.8,0.6717564235796746,1214.3435166036882,1.0,1,0,1.0,1214.3435166036882,0.0
135,random,simple,A,0.8,0.8911456527501136,1311.9674112199798,1.0,1,0,1.0,1311.9674112199798,0.0
136,random,simple,B,0.95,0.8996953599999999,633.3322329727639,0.1,1,0,0.1,633.3322329727639,0.0
137,random,hard,A,0.95,0.990103193489688,1764.95956936539,1.0,0,0,1.0,1764.95956936539,0.0
138,random,simple,A,0.8,1.0,1976.6340508588205,1.0,1,0,1.0,1976.6340508588205,0.0
139,random,simple,A,0.8,1.0,1946.090146844072,1.0,1,0,1.0,1946.090146844072,0.0
140,random,simple,A,0.8,1.0,1850.0448879023077,1.0,0,0,1.0,1850.0448879023077,0.0
141,random,hard,A,0.95,1.0,2015.9924235928227,1.0,1,0,1.0,2015.9924235928227,0.0
142,random,simple,B,0.95,0.7178222020446021,539.6287527814001,0.1,1,0,0.1,539.6287527814001,0.0
143,random,simple,B,0.95,0.9316835377992498,580.8803187996393,0.1,1,0,0.1,580.8803187996393,0.0
144,random,simple,A,0.8,0.9814719999999999,1530.0965991584512,1.0,1,0,1.0,1530.0965991584512,0.0
145,random,simple,A,0.8,1.0,1712.5856845369829,1.0,0,0,1.0,1712.5856845369829,0.0
146,random,simple,B,0.95,0.9349162438711305,667.0491031423368,0.1,1,0,0.1,667.0491031423368,0.0
147,random,simple,D,0.85,0.43646090292818807,473.84820341203704,0.22,1,0,0.22,473.84820341203704,0.0
148,random,simple,B,0.95,1.0,597.1575067993706,0.1,0,0,0.1,597.1575067993706,0.0
149,random,simple,A,0.8,0.8996953599999999,1611.5746229334795,1.0,1,0,1.0,1611.5746229334795,0.0
150,random,simple,B,0.95,1.0,732.3805416422181,0.1,1,0,0.1,732.3805416422181,0.0
151,random,simple,D,0.85,0.5617435783074448,547.3082518724722,0.22,1,0,0.22,547.3082518724722,0.0
152,random,simple,D,0.85,0.7943343489105514,677.15291611453,0.22,1,0,0.22,677.15291611453,0.0
153,random,hard,E,0.9,0.3158266255173786,715.8227303154586,0.6,1,0,0.6,715.8227303154586,0.0
154,random,hard,C,0.75,0.3043475086381518,575.9508249965056,0.35,0,0,0.35,575.9508249965056,0.0
155,random,hard,E,0.9,0.544576138800658,943.4291188900241,0.6,1,0,0.6,943.4291188900241,0.0
156,random,simple,B,0.95,0.764404086784,458.25516349542556,0.1,1,0,0.1,458.25516349542556,0.0
157,random,simple,D,0.85,0.7191955885306452,603.130560101253,0.22,1,0,0.22,603.130560101253,0.0
158,random,hard,A,0.95,0.5847341316717392,1350.2495877732952,1.0,1,0,1.0,1350.2495877732952,0.0
159,random,simple,D,0.85,0.8569450637581317,675.3865934885991,0.22,1,0,0.22,675.3865934885991,0.0
160,random,hard,A,0.95,0.7528181115665948,1236.4053233158152,1.0,1,0,1.0,1236.4053233158152,0.0
161,random,simple,A,0.8,0.9624799381786036,1545.5218082132574,1.0,1,0,1.0,1545.5218082132574,0.0
162,random,simple,B,0.95,0.654992381856881,495.5536332696634,0.1,1,0,0.1,495.5536332696634,0.0
163,random,simple,D,0.85,0.8139059785106557,732.9922112329157,0.22,1,0,0.22,732.9922112329157,0.0
164,random,simple,A,0.8,0.9559031284304493,1484.2236469365148,1.0,1,0,1.0,1484.2236469365148,0.0
165,random,simple,B,0.95,0.7463589684487724,498.49999187528624,0.1,1,0,0.1,498.49999187528624,0.0
166,random,simple,B,0.95,0.9567958922349196,635.6715607391698,0.1,0,0,0.1,635.6715607391698,0.0
167,random,simple,B,0.95,1.0,661.4411164015783,0.1,1,0,0.1,661.4411164015783,0.0
168,random,simple,B,0.95,1.0,682.4169503069744,0.1,1,0,0.1,682.4169503069744,0.0
